Index	Vgate	Vsource	Vdrain	Vsubs	Idrain	Isubs	IdrainPerWg	IsubsPerWg	gm	gmPerWg
78	 -1.1500 V	 0 V	 5.0000 V	 0 V	 10.5657 uA	 -2.070 pA	 105.6570000 nA/um	 -20.70000000 fA/um	 116.0000000 nS	 1.160000000 nS/um
79	 -1.1000 V	 0 V	 5.0000 V	 0 V	 10.5767 uA	 -2.192 pA	 105.7670000 nA/um	 -21.92000000 fA/um	 2.000000000 nS	 20.00000000 pS/um
80	 -1.0500 V	 0 V	 5.0000 V	 0 V	 10.5659 uA	 -2.088 pA	 105.6590000 nA/um	 -20.88000000 fA/um	 -48.00000000 nS	 -480.0000000 pS/um
81	 -1.0000 V	 0 V	 5.0000 V	 0 V	 10.5719 uA	 -2.244 pA	 105.7190000 nA/um	 -22.44000000 fA/um	 -38.00000000 nS	 -380.0000000 pS/um
82	 -950.0 mV	 0 V	 5.0000 V	 0 V	 10.5621 uA	 -2.187 pA	 105.6210000 nA/um	 -21.87000000 fA/um	 -24.00000000 nS	 -240.0000000 pS/um
83	 -900.0 mV	 0 V	 5.0000 V	 0 V	 10.5695 uA	 -2.177 pA	 105.6950000 nA/um	 -21.77000000 fA/um	 27.00000000 nS	 270.0000000 pS/um
84	 -850.0 mV	 0 V	 5.0000 V	 0 V	 10.5648 uA	 -2.293 pA	 105.6480000 nA/um	 -22.93000000 fA/um	 -91.00000000 nS	 -910.0000000 pS/um
85	 -800.0 mV	 0 V	 5.0000 V	 0 V	 10.5604 uA	 -2.221 pA	 105.6040000 nA/um	 -22.21000000 fA/um	 147.0000000 nS	 1.470000000 nS/um
86	 -750.0 mV	 0 V	 5.0000 V	 0 V	 10.5795 uA	 -2.197 pA	 105.7950000 nA/um	 -21.97000000 fA/um	 91.00000000 nS	 910.0000000 pS/um
87	 -700.0 mV	 0 V	 5.0000 V	 0 V	 10.5695 uA	 -2.218 pA	 105.6950000 nA/um	 -22.18000000 fA/um	 0 S	 0 S/um
88	 -650.0 mV	 0 V	 5.0000 V	 0 V	 10.5795 uA	 -2.098 pA	 105.7950000 nA/um	 -20.98000000 fA/um	 65.00000000 nS	 650.0000000 pS/um
89	 -600.0 mV	 0 V	 5.0000 V	 0 V	 10.5760 uA	 -2.117 pA	 105.7600000 nA/um	 -21.17000000 fA/um	 -12.00000000 nS	 -120.0000000 pS/um
90	 -550.0 mV	 0 V	 5.0000 V	 0 V	 10.5783 uA	 -2.148 pA	 105.7830000 nA/um	 -21.48000000 fA/um	 5.000000000 nS	 50.00000000 pS/um
91	 -500.0 mV	 0 V	 5.0000 V	 0 V	 10.5765 uA	 -2.210 pA	 105.7650000 nA/um	 -22.10000000 fA/um	 -56.00000000 nS	 -560.0000000 pS/um
92	 -450.0 mV	 0 V	 5.0000 V	 0 V	 10.5727 uA	 -2.258 pA	 105.7270000 nA/um	 -22.58000000 fA/um	 -81.00000000 nS	 -810.0000000 pS/um
93	 -400.0 mV	 0 V	 5.0000 V	 0 V	 10.5684 uA	 -2.206 pA	 105.6840000 nA/um	 -22.06000000 fA/um	 -50.00000000 nS	 -500.0000000 pS/um
