Index	Vgate	Vsource	Vdrain	Vsubs	Idrain	IdrainPerWg
103	 2.0000 V	 0 V	 510.0 mV	 0 V	 12.4230 mA	 1.242300000 mA/um
104	 2.0000 V	 0 V	 515.0 mV	 0 V	 12.4260 mA	 1.242600000 mA/um
105	 2.0000 V	 0 V	 520.0 mV	 0 V	 12.3170 mA	 1.231700000 mA/um
106	 2.0000 V	 0 V	 525.0 mV	 0 V	 12.4640 mA	 1.246400000 mA/um
107	 2.0000 V	 0 V	 530.0 mV	 0 V	 12.7520 mA	 1.275200000 mA/um
108	 2.0000 V	 0 V	 535.0 mV	 0 V	 12.7390 mA	 1.273900000 mA/um
109	 2.0000 V	 0 V	 540.0 mV	 0 V	 12.6650 mA	 1.266500000 mA/um
110	 2.0000 V	 0 V	 545.0 mV	 0 V	 12.9620 mA	 1.296200000 mA/um
111	 2.0000 V	 0 V	 550.0 mV	 0 V	 13.0680 mA	 1.306800000 mA/um
112	 2.0000 V	 0 V	 555.0 mV	 0 V	 12.9880 mA	 1.298800000 mA/um
113	 2.0000 V	 0 V	 560.0 mV	 0 V	 13.0840 mA	 1.308400000 mA/um
114	 2.0000 V	 0 V	 565.0 mV	 0 V	 13.3520 mA	 1.335200000 mA/um
115	 2.0000 V	 0 V	 570.0 mV	 0 V	 13.3530 mA	 1.335300000 mA/um
116	 2.0000 V	 0 V	 575.0 mV	 0 V	 13.2710 mA	 1.327100000 mA/um
117	 2.0000 V	 0 V	 580.0 mV	 0 V	 13.4430 mA	 1.344300000 mA/um
118	 2.0000 V	 0 V	 585.0 mV	 0 V	 13.7150 mA	 1.371500000 mA/um
119	 2.0000 V	 0 V	 590.0 mV	 0 V	 13.7020 mA	 1.370200000 mA/um
120	 2.0000 V	 0 V	 595.0 mV	 0 V	 13.6190 mA	 1.361900000 mA/um
121	 2.0000 V	 0 V	 600.0 mV	 0 V	 13.7660 mA	 1.376600000 mA/um
122	 2.0000 V	 0 V	 605.0 mV	 0 V	 14.0240 mA	 1.402400000 mA/um
123	 2.0000 V	 0 V	 610.0 mV	 0 V	 13.9810 mA	 1.398100000 mA/um
124	 2.0000 V	 0 V	 615.0 mV	 0 V	 13.9560 mA	 1.395600000 mA/um
125	 2.0000 V	 0 V	 620.0 mV	 0 V	 14.2520 mA	 1.425200000 mA/um
126	 2.0000 V	 0 V	 625.0 mV	 0 V	 14.3040 mA	 1.430400000 mA/um
127	 2.0000 V	 0 V	 630.0 mV	 0 V	 14.2010 mA	 1.420100000 mA/um
128	 2.0000 V	 0 V	 635.0 mV	 0 V	 14.3730 mA	 1.437300000 mA/um
129	 2.0000 V	 0 V	 640.0 mV	 0 V	 14.6010 mA	 1.460100000 mA/um
130	 2.0000 V	 0 V	 645.0 mV	 0 V	 14.5970 mA	 1.459700000 mA/um
131	 2.0000 V	 0 V	 650.0 mV	 0 V	 14.5280 mA	 1.452800000 mA/um
132	 2.0000 V	 0 V	 655.0 mV	 0 V	 14.8060 mA	 1.480600000 mA/um
133	 2.0000 V	 0 V	 660.0 mV	 0 V	 14.9220 mA	 1.492200000 mA/um
134	 2.0000 V	 0 V	 665.0 mV	 0 V	 14.9020 mA	 1.490200000 mA/um
135	 2.0000 V	 0 V	 670.0 mV	 0 V	 14.8840 mA	 1.488400000 mA/um
136	 2.0000 V	 0 V	 675.0 mV	 0 V	 15.1500 mA	 1.515000000 mA/um
137	 2.0000 V	 0 V	 680.0 mV	 0 V	 15.2040 mA	 1.520400000 mA/um
138	 2.0000 V	 0 V	 685.0 mV	 0 V	 15.1900 mA	 1.519000000 mA/um
139	 2.0000 V	 0 V	 690.0 mV	 0 V	 15.3430 mA	 1.534300000 mA/um
